Wall time,Step,Value
1746396450.066608,0,0.3904259502887726
1746396951.3727944,1,0.453125
1746397452.6321404,2,0.48596736788749695
1746397953.7864072,3,0.5139331221580505
1746398455.2866027,4,0.5511544346809387
1746398956.4462821,5,0.5598129034042358
1746399457.6742263,6,0.5774283409118652
1746399958.8936377,7,0.5828025341033936
1746400460.3245616,8,0.5854896306991577
1746400961.5305216,9,0.6061902642250061
1746401462.6634443,10,0.6135549545288086
1746401963.9657452,11,0.6250995397567749
1746402465.0608797,12,0.6244028806686401
1746402966.2493815,13,0.6276870965957642
1746403467.4794111,14,0.6287818551063538
1746403968.7184837,15,0.6268908977508545
1746404470.0830214,16,0.6324641704559326
1746404971.303493,17,0.6333598494529724
1746405472.2364557,18,0.6250995397567749
1746405973.3627136,19,0.6179339289665222
1746406474.2544842,20,0.6307722926139832
1746406975.288597,21,0.6247014403343201
1746407476.002534,22,0.6238057613372803
1746407976.9726439,23,0.6228104829788208
1746408477.928027,24,0.6260947585105896
1746408978.9723606,25,0.6281847357749939
1746409480.0317564,26,0.6243033409118652
1746409981.1061723,27,0.6250995397567749
1746410482.2767403,28,0.6210191249847412
1746410982.9273262,29,0.6304737329483032
1746411483.7925384,30,0.6206210255622864
1746411984.8209121,31,0.6192277073860168
1746412485.8062875,32,0.6222133636474609
1746412986.785064,33,0.6224124431610107
1746413488.004339,34,0.6237062215805054
1746413989.1426442,35,0.6228104829788208
1746414490.2962377,36,0.6109673380851746
1746414991.3494983,37,0.6169387102127075
1746415492.3104203,38,0.6232085824012756
1746415993.3552418,39,0.6203224658966064
1746416494.329955,40,0.6208200454711914
1746416995.1499639,41,0.6254976391792297
1746417496.1570883,42,0.6132563948631287
1746417997.1514862,43,0.6259952187538147
1746418498.0014496,44,0.631369411945343
1746418998.6910167,45,0.6059912443161011
1746419499.3671107,46,0.6235071420669556
1746420000.182012,47,0.6169387102127075
1746420500.800791,48,0.615545392036438
1746421001.416793,49,0.6240047812461853
1746421502.2590039,50,0.6240047812461853
1746422002.7913911,51,0.6272889971733093
1746422503.3289812,52,0.6232085824012756
1746423003.6732259,53,0.6203224658966064
1746423504.2678537,54,0.616042971611023
1746424004.756886,55,0.6204219460487366
1746424505.0914214,56,0.6125597357749939
1746425005.6620762,57,0.6213176846504211
1746425506.3117785,58,0.6171377301216125
1746426006.7154129,59,0.6182324886322021
1746426506.9977183,60,0.6196258068084717
1746427007.5150607,61,0.6288813948631287
1746427508.017891,62,0.622113823890686
1746428008.273365,63,0.6226114630699158
1746428508.9383996,64,0.621417224407196
1746429009.633334,65,0.6163415312767029
1746429510.4059145,66,0.6250995397567749
1746430011.1573274,67,0.6212181448936462
1746430512.1202314,68,0.6131568551063538
1746431012.8070166,69,0.6259952187538147
1746431513.5302794,70,0.615545392036438
1746432013.8561342,71,0.6168391704559326
1746432514.1742234,72,0.6350517272949219
1746433014.3983233,73,0.6233081221580505
1746433514.63384,74,0.6235071420669556
1746434014.7843473,75,0.612957775592804
1746434515.394897,76,0.6277866363525391
1746435015.7540627,77,0.6121616363525391
1746435516.315037,78,0.6174362897872925
1746436016.7372262,79,0.612659215927124
1746436517.5876713,80,0.6179339289665222
1746437018.167518,81,0.6257961988449097
1746437518.663918,82,0.6273885369300842
1746438019.59753,83,0.6164410710334778
1746438520.5113666,84,0.6291799545288086
1746439021.402806,85,0.6303741931915283
1746439522.0980473,86,0.6147491931915283
1746440022.8160844,87,0.6244028806686401
1746440523.513986,88,0.6274880766868591
1746441024.497532,89,0.6141520738601685
1746441525.48611,90,0.6211186051368713
1746442026.3732457,91,0.6174362897872925
1746442527.4017997,92,0.616042971611023
1746443028.5653758,93,0.6215167045593262
1746443529.7043827,94,0.6108678579330444
1746444030.5634909,95,0.621715784072876
1746444531.2887342,96,0.6162420511245728
1746445032.1134748,97,0.628284215927124
1746445532.9522078,98,0.6072850227355957
1746446033.7763977,99,0.6238057613372803
